VESSEL_ID,Trip_ID,OBSET_ID,Total_Hooks_Set,Hooks_Observed,BSL,Birds_Obs_Caught,Season,Hooks_Recovered,Year,Regulation
Carolina Castro,FAO20,Tiofelus Hinamunhu_20_1,15000,,Yes,1,Summer,14900,2018,AFTER
Carolina Castro,FAO21,Joe Mulenga_21_1,18000,,Yes,1,Summer,17900,2018,AFTER
Carolina Castro,FAO21,Joe Mulenga_21_1,18000,,Yes,4,Summer,17900,2018,AFTER
Carolina Castro,FAO21,Joe Mulenga_21_1,18000,,Yes,0,Summer,17900,2018,AFTER
Carolina Castro,FAO21,Joe Mulenga_21_1,16000,,Yes,0,Summer,15900,2018,AFTER
Carolina Castro,FAO21,Joe Mulenga_21_1,10000,,Yes,1,Summer,9900,2018,AFTER
Blomeha,FAO22,B. A Shilongo_22_1,15300,,Yes,1,Summer,15125,2018,AFTER
Blomeha,FAO22,B. A Shilongo_22_1,15300,,Yes,0,Summer,15181,2018,AFTER
Blomeha,FAO22,B. A Shilongo_22_1,15300,,Yes,2,Summer,15109,2018,AFTER
Blomeha,FAO22,B. A Shilongo_22_1,15300,,Yes,0,Summer,15159,2018,AFTER
Blomeha,FAO22,B. A Shilongo_22_1,15300,,Yes,1,Summer,15169,2018,AFTER
Blomeha,FAO22,B. A Shilongo_22_1,12725,,Yes,0,Summer,12724,2018,AFTER
Boston Wayfarer,FAO23,Robert Liyeke_23_1,17640,,Yes,0,Summer,14240,2018,AFTER
Boston Wayfarer,FAO23,Robert Liyeke_23_1,17640,,Yes,0,Summer,13740,2018,AFTER
Boston Wayfarer,FAO23,Robert Liyeke_23_1,17640,,Yes,0,Summer,14140,2018,AFTER
Boston Wayfarer,FAO23,Robert Liyeke_23_1,17640,,Yes,0,Summer,14430,2018,AFTER
Boston Wayfarer,FAO23,Robert Liyeke_23_1,17640,,Yes,0,Summer,14240,2018,AFTER
Joao N Castro,FAO24,Josef I Abambi_24_1,21600,,Yes,2,Summer,21470,2018,AFTER
